,Timestamp,Age,Gender,City,Position,YOE,Level,Salary,SOYA,Language
345,15/12/2018 17:15:31,30.0,Male,München,Data Scientist,6.0,Middle,80000.0,72000.0,English
346,15/12/2018 17:33:01,28.0,Male,Amsterdam,Scala\Java,10.0,Senior,80000.0,75000.0,English
347,15/12/2018 17:48:02,32.0,Male,München,Full-Stack Web Developer,7.0,Senior,65000.0,63000.0,English
348,15/12/2018 18:02:36,30.0,Male,Amsterdam,Go Developer,10.0,Senior,70000.0,24000.0,Russian
349,15/12/2018 18:14:51,30.0,Female,München,ios developer,7.0,Senior,60000.0,60000.0,English
351,15/12/2018 18:37:23,30.0,Male,Berlin,Java Software Engineer ,4.0,Middle,55000.0,51000.0,English
355,15/12/2018 20:26:59,32.0,Male,Berlin,Java/JS Developer,11.0,Senior,87000.0,75000.0,English
356,15/12/2018 20:43:02,30.0,Male,Berlin,Senior Software Engineer (Data Engineer),8.0,Senior,66000.0,63000.0,English
359,15/12/2018 21:12:04,31.0,Male,Berlin,Scala Developer,9.0,Senior,60000.0,60000.0,English
362,15/12/2018 21:22:42,26.0,Male,München,iOS Developer,4.0,Senior,70000.0,45000.0,Russian
363,15/12/2018 21:38:11,28.0,Male,München,IT Consultant,3.0,Middle,62000.0,53500.0,Deutsch
364,15/12/2018 21:41:10,34.0,Male,Berlin,QA,8.0,Senior,53500.0,50000.0,English
365,15/12/2018 22:11:05,24.0,Male,Köln,Software Engineer,4.0,Junior,87975.0,60500.0,English
366,15/12/2018 22:24:04,31.0,Male,Berlin,Team lead PHP,10.0,Senior,60000.0,55000.0,English
368,15/12/2018 22:32:31,31.0,Male,Berlin,Team Lead,9.0,Senior,70000.0,70000.0,English
369,15/12/2018 22:46:17,26.0,Male,Berlin,Full stack developer,6.0,Senior,60000.0,54000.0,English
371,15/12/2018 23:10:31,32.0,Male,Prague,Engineering Manager,11.0,Senior,70000.0,62000.0,English
372,15/12/2018 23:34:27,34.0,Male,München,Java Developer,14.0,Senior,70000.0,65000.0,Russian
373,16/12/2018 00:10:34,33.0,Male,Berlin,Senior PHP Developer,10.0,Senior,54000.0,48000.0,English
374,16/12/2018 00:15:34,35.0,Male,München,Deep Learning Researcher (PHD),7.0,Senior,130000.0,120000.0,English
376,16/12/2018 01:41:06,34.0,Male,Berlin,Senior Software Engineer,10.0,Senior,76000.0,68000.0,English
377,16/12/2018 01:57:27,35.0,Male,Berlin,Solution Engineer,5.0,Middle,53000.0,50400.0,English
378,16/12/2018 07:33:00,30.0,Male,Moscow,Senior software engineer,10.0,Senior,31500.0,17400.0,Russian
379,16/12/2018 07:36:39,36.0,Male,Stockholm,Senior SQL Server DBA/Developer,13.0,Senior,58000.0,53000.0,English
380,16/12/2018 10:20:57,37.0,Male,Berlin,QA Automation,6.0,Senior,52000.0,42000.0,English
381,16/12/2018 10:39:55,30.0,Male,Berlin,Lead developer,9.0,Senior,75000.0,65000.0,English
382,16/12/2018 10:45:23,37.0,Female,Berlin,Senior Software Ingenieur Java,10.0,Senior,68000.0,58000.0,Deutsch
385,16/12/2018 11:11:12,37.0,Male,München,Lead Architect,15.0,Senior,110000.0,110000.0,Deutsch
387,16/12/2018 11:51:14,30.0,Male,München,Team Lead,9.0,Senior,70000.0,65000.0,English
388,16/12/2018 12:10:47,30.0,Male,Amsterdam ,Devops,10.0,Senior,70000.0,55000.0,English
389,16/12/2018 12:50:24,32.0,Female,München,Scrum Master,12.0,Middle,72000.0,53000.0,English
391,16/12/2018 13:31:18,22.0,Male,"Belgrade, Serbia",Sr. JS Developer,10.0,Senior,120000.0,100000.0,English
